,feature_name
271,kernel32.dll:LCMapStringA
272,kernel32.dll:GetStringTypeA
273,kernel32.dll:FreeEnvironmentStringsA
274,kernel32.dll:GetEnvironmentStrings
275,kernel32.dll:GetTimeZoneInformation
276,kernel32.dll:WriteConsoleA
277,kernel32.dll:GetConsoleOutputCP
278,kernel32.dll:GetUserDefaultLCID
279,kernel32.dll:EnumSystemLocalesA
280,kernel32.dll:IsValidLocale
281,kernel32.dll:GetLocaleInfoW
282,kernel32.dll:CompareStringW
283,kernel32.dll:SetEnvironmentVariableA
284,kernel32.dll:GetFullPathNameA
285,kernel32.dll:GetVolumeInformationA
286,kernel32.dll:FindFirstFileA
287,kernel32.dll:DuplicateHandle
288,kernel32.dll:UnlockFile
289,kernel32.dll:LockFile
290,kernel32.dll:FileTimeToSystemTime
291,kernel32.dll:GetThreadLocale
292,kernel32.dll:GlobalGetAtomNameA
293,kernel32.dll:GlobalFindAtomA
294,kernel32.dll:FreeResource
295,kernel32.dll:WritePrivateProfileStringA
296,kernel32.dll:GlobalAddAtomA
297,kernel32.dll:CreateEventA
298,kernel32.dll:SuspendThread
299,kernel32.dll:SetEvent
300,kernel32.dll:SetThreadPriority
301,kernel32.dll:GlobalDeleteAtom
302,kernel32.dll:ConvertDefaultLocale
303,kernel32.dll:EnumResourceLanguagesA
304,kernel32.dll:GetLocaleInfoA
305,kernel32.dll:CompareStringA
306,kernel32.dll:InterlockedExchange
307,kernel32.dll:CreateProcessA
308,kernel32.dll:TerminateThread
309,kernel32.dll:GetExitCodeThread
310,kernel32.dll:InitializeCriticalSection
311,kernel32.dll:GetTempFileNameA
312,kernel32.dll:GetWindowsDirectoryA
313,kernel32.dll:GetSystemTime
314,kernel32.dll:FormatMessageA
315,kernel32.dll:OutputDebugStringA
316,kernel32.dll:GetVersionExA
317,kernel32.dll:GetSystemDirectoryA
318,kernel32.dll:lstrcatA
319,kernel32.dll:DeleteFileA
320,kernel32.dll:GetUserDefaultUILanguage
321,kernel32.dll:GetCurrentThread
322,kernel32.dll:LocalAlloc
323,kernel32.dll:LocalFree
324,kernel32.dll:ResumeThread
325,kernel32.dll:CreateToolhelp32Snapshot
326,kernel32.dll:Process32First
327,kernel32.dll:Process32Next
328,kernel32.dll:FindResourceA
329,kernel32.dll:LoadResource
330,kernel32.dll:LockResource
331,kernel32.dll:SizeofResource
332,user32.dll:InvalidateRgn
333,user32.dll:GetNextDlgGroupItem
334,user32.dll:MessageBeep
335,user32.dll:RegisterClipboardFormatA
336,user32.dll:PostThreadMessageA
337,user32.dll:InsertMenuItemA
338,user32.dll:SetRectEmpty
339,user32.dll:TranslateAcceleratorA
340,user32.dll:CharUpperA
341,user32.dll:InflateRect
342,user32.dll:RegisterWindowMessageA
343,user32.dll:WinHelpA
344,user32.dll:IsChild
345,user32.dll:GetCapture
346,user32.dll:GetClassLongA
347,user32.dll:GetClassNameA
348,user32.dll:SetPropA
349,user32.dll:GetPropA
350,user32.dll:RemovePropA
351,user32.dll:GetForegroundWindow
352,user32.dll:BeginDeferWindowPos
353,user32.dll:EndDeferWindowPos
354,user32.dll:GetTopWindow
355,user32.dll:GetMessageTime
356,user32.dll:MapWindowPoints
357,user32.dll:SetMenu
358,user32.dll:CreateWindowExA
359,user32.dll:GetClassInfoExA
360,user32.dll:GetClassInfoA
361,user32.dll:RegisterClassA
362,user32.dll:AdjustWindowRectEx
363,user32.dll:EqualRect
364,user32.dll:DeferWindowPos
365,user32.dll:CopyRect
366,user32.dll:DefWindowProcA
367,user32.dll:CallWindowProcA
368,user32.dll:GetMenu
369,user32.dll:OffsetRect
370,user32.dll:IntersectRect
371,user32.dll:SystemParametersInfoA
372,user32.dll:GetWindowPlacement
373,user32.dll:GetWindowDC
374,user32.dll:ClientToScreen
375,user32.dll:CreateDialogIndirectParamA
376,user32.dll:GetNextDlgTabItem
377,user32.dll:SetWindowContextHelpId
378,user32.dll:SetRect
379,user32.dll:GetLastActivePopup
380,user32.dll:ShowOwnedPopups
381,user32.dll:SetWindowsHookExA
382,user32.dll:CallNextHookEx
383,user32.dll:GetMessageA
384,user32.dll:TranslateMessage
385,user32.dll:DispatchMessageA
386,user32.dll:ReleaseCapture
387,user32.dll:GetKeyState
388,user32.dll:PeekMessageA
389,user32.dll:GetCursorPos
390,user32.dll:ValidateRect
391,user32.dll:SetMenuItemBitmaps
392,user32.dll:GetMenuCheckMarkDimensions
393,user32.dll:ModifyMenuA
394,user32.dll:CheckMenuItem
395,user32.dll:GetWindowTextA
396,user32.dll:GetFocus
397,user32.dll:SetFocus
398,user32.dll:MoveWindow
399,user32.dll:GetDlgCtrlID
400,user32.dll:SetWindowTextA
401,user32.dll:IsDialogMessageA
402,user32.dll:SendDlgItemMessageA
403,user32.dll:GetWindow
404,user32.dll:UnhookWindowsHookEx
405,user32.dll:GetMenuState
406,user32.dll:GetMenuItemID
407,user32.dll:GetMenuItemCount
408,user32.dll:GetSubMenu
409,user32.dll:GetWindowThreadProcessId
410,user32.dll:CloseWindow
411,user32.dll:GetDesktopWindow
412,user32.dll:DrawFrameControl
413,user32.dll:MessageBoxA
414,user32.dll:PostMessageA
415,user32.dll:ReleaseDC
416,user32.dll:GrayStringA
417,user32.dll:DrawTextExA
418,user32.dll:DrawTextA
419,user32.dll:TabbedTextOutA
420,user32.dll:LoadBitmapA
421,user32.dll:GetWindowLongA
422,user32.dll:SetWindowLongA
423,user32.dll:LoadCursorA
424,user32.dll:IsRectEmpty
425,user32.dll:CopyAcceleratorTableA
426,user32.dll:UnregisterClassA
427,user32.dll:SetCapture
428,user32.dll:GetSysColorBrush
429,user32.dll:GetMenuItemInfoA
430,user32.dll:UnpackDDElParam
431,user32.dll:ReuseDDElParam
432,user32.dll:LoadMenuA
433,user32.dll:DestroyMenu
434,user32.dll:MapDialogRect
435,user32.dll:GetParent
436,user32.dll:IsIconic
437,user32.dll:GetKeyboardState
438,user32.dll:keybd_event
439,user32.dll:BringWindowToTop
440,user32.dll:SetActiveWindow
441,user32.dll:DrawIcon
442,user32.dll:PtInRect
443,user32.dll:KillTimer
444,user32.dll:LoadIconA
445,user32.dll:SendMessageA
446,user32.dll:UpdateWindow
447,user32.dll:GetActiveWindow
448,user32.dll:LoadAcceleratorsA
449,gdi32.dll:SetWindowExtEx
450,gdi32.dll:ScaleWindowExtEx
451,gdi32.dll:ExtSelectClipRgn
452,gdi32.dll:DeleteDC
453,gdi32.dll:CreatePatternBrush
454,gdi32.dll:SetWindowOrgEx
455,gdi32.dll:SetViewportExtEx
456,gdi32.dll:GetTextColor
457,gdi32.dll:CreateRectRgnIndirect
458,gdi32.dll:GetTextExtentPoint32A
459,gdi32.dll:GetRgnBox
460,gdi32.dll:ScaleViewportExtEx
461,gdi32.dll:OffsetViewportOrgEx
462,gdi32.dll:SetViewportOrgEx
463,gdi32.dll:GetPixel
464,gdi32.dll:CreateSolidBrush
465,gdi32.dll:GetCurrentObject
466,gdi32.dll:Escape
467,gdi32.dll:ExtTextOutA
468,gdi32.dll:TextOutA
469,gdi32.dll:RectVisible
470,gdi32.dll:PtVisible
471,gdi32.dll:GetStockObject
472,gdi32.dll:BitBlt
473,gdi32.dll:LPtoDP
474,gdi32.dll:DPtoLP
475,gdi32.dll:GetWindowExtEx
476,gdi32.dll:GetViewportExtEx
477,gdi32.dll:GetMapMode
478,gdi32.dll:GetBkColor
479,gdi32.dll:CreateCompatibleDC
480,gdi32.dll:CreateCompatibleBitmap
481,gdi32.dll:GetObjectA
482,gdi32.dll:CreateFontIndirectA
483,gdi32.dll:GetClipBox
484,gdi32.dll:SetMapMode
485,gdi32.dll:RestoreDC
486,gdi32.dll:SaveDC
487,gdi32.dll:CreateBitmap
488,comdlg32.dll:GetFileTitleA
489,winspool.drv:DocumentPropertiesA
490,winspool.drv:OpenPrinterA
491,winspool.drv:ClosePrinter
492,advapi32.dll:OpenThreadToken
493,advapi32.dll:RegCreateKeyExA
494,advapi32.dll:RegQueryValueA
495,advapi32.dll:RegOpenKeyA
496,advapi32.dll:RegEnumKeyA
497,advapi32.dll:RegDeleteKeyA
498,advapi32.dll:AbortSystemShutdownA
499,advapi32.dll:RegEnumKeyExA
500,advapi32.dll:RegQueryInfoKeyA
501,advapi32.dll:RegQueryValueExA
502,advapi32.dll:RegOpenKeyExA
503,advapi32.dll:RegSetValueExA
504,advapi32.dll:EnumServicesStatusA
505,advapi32.dll:OpenProcessToken
506,advapi32.dll:DuplicateToken
507,advapi32.dll:InitializeSecurityDescriptor
508,advapi32.dll:GetLengthSid
509,advapi32.dll:InitializeAcl
510,advapi32.dll:AddAccessAllowedAce
511,advapi32.dll:SetSecurityDescriptorDacl
512,advapi32.dll:SetSecurityDescriptorGroup
513,advapi32.dll:SetSecurityDescriptorOwner
514,advapi32.dll:IsValidSecurityDescriptor
515,advapi32.dll:AccessCheck
516,advapi32.dll:AllocateAndInitializeSid
517,advapi32.dll:CheckTokenMembership
518,advapi32.dll:FreeSid
519,advapi32.dll:OpenSCManagerA
520,shell32.dll:ShellExecuteA
521,shell32.dll:Shell_NotifyIconA
522,shell32.dll:DragFinish
523,shell32.dll:DragQueryFileA
524,shell32.dll:SHGetFolderPathA
525,shlwapi.dll:PathFindExtensionA
526,shlwapi.dll:PathFindFileNameA
527,shlwapi.dll:PathStripToRootA
528,shlwapi.dll:PathIsUNCA
529,shlwapi.dll:UrlUnescapeA
530,shlwapi.dll:AssocQueryStringA
531,oledlg.dll:
532,ole32.dll:CoTaskMemAlloc
533,ole32.dll:CoGetClassObject
534,ole32.dll:StgOpenStorageOnILockBytes
535,ole32.dll:StringFromCLSID
536,ole32.dll:CreateStreamOnHGlobal
537,ole32.dll:CoInitializeEx
538,ole32.dll:CLSIDFromString
539,ole32.dll:CLSIDFromProgID
540,ole32.dll:CoRegisterMessageFilter
541,ole32.dll:OleFlushClipboard
542,ole32.dll:OleIsCurrentClipboard
543,ole32.dll:CoRevokeClassObject
544,ole32.dll:CoFreeUnusedLibraries
545,ole32.dll:CreateILockBytesOnHGlobal
546,ole32.dll:StgCreateDocfileOnILockBytes
547,oleaut32.dll:
548,urlmon.dll:ObtainUserAgentString
549,urlmon.dll:URLDownloadToFileA
550,wininet.dll:HttpOpenRequestA
551,wininet.dll:InternetConnectA
552,wininet.dll:HttpSendRequestA
553,wininet.dll:InternetReadFile
554,wininet.dll:InternetWriteFile
555,wininet.dll:InternetSetFilePointer
556,wininet.dll:InternetSetStatusCallback
557,wininet.dll:InternetGetLastResponseInfoA
558,wininet.dll:HttpQueryInfoA
559,wininet.dll:HttpAddRequestHeadersA
560,wininet.dll:DeleteUrlCacheEntry
561,wininet.dll:InternetCanonicalizeUrlA
562,wininet.dll:InternetOpenUrlA
563,wininet.dll:InternetCloseHandle
564,wininet.dll:InternetQueryDataAvailable
565,wininet.dll:InternetOpenA
566,wininet.dll:InternetCrackUrlA
567,kernel32.dll:GetPrivateProfileStringA
568,kernel32.dll:GetProcessId
569,user32.dll:CreateDialogParamA
570,user32.dll:RegisterClassExA
571,user32.dll:LoadStringA
572,shell32.dll:
573,shell32.dll:ShellExecuteExA
574,comctl32.dll:InitCommonControlsEx
575,rpcrt4.dll:UuidToStringA
576,rpcrt4.dll:RpcStringFreeA
577,shlwapi.dll:PathRemoveFileSpecA
578,mfc42.dll:
579,msvcrt.dll:_controlfp
580,msvcrt.dll:??1type_info@@UAE@XZ
581,msvcrt.dll:_onexit
582,msvcrt.dll:__dllonexit
583,msvcrt.dll:_except_handler3
584,msvcrt.dll:__set_app_type
585,msvcrt.dll:__p__fmode
586,msvcrt.dll:__p__commode
587,msvcrt.dll:_adjust_fdiv
588,msvcrt.dll:__setusermatherr
589,msvcrt.dll:__CxxFrameHandler
590,msvcrt.dll:exit
591,msvcrt.dll:strcmp
592,msvcrt.dll:_CxxThrowException
593,msvcrt.dll:_setmbcp
594,msvcrt.dll:wcslen
595,msvcrt.dll:memcpy
596,msvcrt.dll:_exit
597,msvcrt.dll:_XcptFilter
598,msvcrt.dll:_acmdln
599,msvcrt.dll:__getmainargs
600,msvcrt.dll:_initterm
601,kernel32.dll:GetEnvironmentVariableA
602,kernel32.dll:GetDateFormatA
603,user32.dll:DestroyCaret
604,user32.dll:GetDoubleClickTime
605,user32.dll:AppendMenuA
606,gdi32.dll:LineTo
607,ole32.dll:CoInitializeSecurity
608,shlwapi.dll:StrStrIW
609,kernel32.dll:HeapSetInformation
610,advapi32.dll:GetUserNameW
611,shell32.dll:ShellExecuteExW
612,kernel32.dll:IsBadReadPtr
613,kernel32.dll:CreateEventW
614,kernel32.dll:LoadLibraryExA
615,user32.dll:GetKeyboardType
616,oleaut32.dll:SysFreeString
617,oleaut32.dll:SysReAllocStringLen
618,oleaut32.dll:SysAllocStringLen
619,advapi32.dll:RegSetKeySecurity
620,advapi32.dll:RegFlushKey
621,advapi32.dll:RegEnumValueA
622,advapi32.dll:GetSidSubAuthorityCount
623,advapi32.dll:GetSidSubAuthority
624,advapi32.dll:GetSidIdentifierAuthority
625,kernel32.dll:UnmapViewOfFile
626,kernel32.dll:SetThreadLocale
627,kernel32.dll:SetLocaleInfoW
628,kernel32.dll:ResetEvent
629,kernel32.dll:ReleaseMutex
630,kernel32.dll:OpenFileMappingA
631,kernel32.dll:MoveFileExA
632,kernel32.dll:MapViewOfFile
633,kernel32.dll:GlobalSize
634,kernel32.dll:GetVolumeInformationW
635,kernel32.dll:GetStringTypeExW
636,kernel32.dll:GetStringTypeExA
637,kernel32.dll:GetShortPathNameA
638,kernel32.dll:GetLogicalDrives
639,kernel32.dll:GetLocalTime
640,kernel32.dll:GetDiskFreeSpaceA
641,kernel32.dll:GetComputerNameW
642,kernel32.dll:GetComputerNameA
643,kernel32.dll:InterlockedCompareExchange
644,kernel32.dll:FindFirstChangeNotificationA
645,kernel32.dll:FileTimeToDosDateTime
646,kernel32.dll:EnumResourceTypesW
647,kernel32.dll:EnumCalendarInfoA
648,kernel32.dll:DeviceIoControl
649,kernel32.dll:CreateSemaphoreA
650,kernel32.dll:CreateIoCompletionPort
651,kernel32.dll:CreateFileMappingA
652,mpr.dll:WNetGetLastErrorW
653,gdi32.dll:UnrealizeObject
654,gdi32.dll:StretchBlt
655,gdi32.dll:SetWinMetaFileBits
656,gdi32.dll:SetStretchBltMode
657,gdi32.dll:SetROP2
658,gdi32.dll:SetPixel
659,gdi32.dll:SetEnhMetaFileBits
660,gdi32.dll:SetDIBColorTable
661,gdi32.dll:SetBrushOrgEx
662,gdi32.dll:SelectPalette
663,gdi32.dll:SelectClipRgn
664,gdi32.dll:Rectangle
665,gdi32.dll:RealizePalette
666,gdi32.dll:Polyline
667,gdi32.dll:PlayEnhMetaFile
668,gdi32.dll:PatBlt
669,gdi32.dll:MoveToEx
670,gdi32.dll:MaskBlt
671,gdi32.dll:IntersectClipRect
672,gdi32.dll:GetWindowOrgEx
673,gdi32.dll:GetWinMetaFileBits
674,gdi32.dll:GetTextMetricsA
675,gdi32.dll:GetSystemPaletteEntries
676,gdi32.dll:GetPaletteEntries
677,gdi32.dll:GetEnhMetaFilePaletteEntries
678,gdi32.dll:GetEnhMetaFileHeader
679,gdi32.dll:GetEnhMetaFileDescriptionA
680,gdi32.dll:GetEnhMetaFileBits
681,gdi32.dll:GetDIBits
682,gdi32.dll:GetDIBColorTable
683,gdi32.dll:GetDCOrgEx
684,gdi32.dll:GetCurrentPositionEx
685,gdi32.dll:GetBrushOrgEx
686,gdi32.dll:GetBitmapBits
687,gdi32.dll:ExcludeClipRect
688,gdi32.dll:DeleteEnhMetaFile
689,gdi32.dll:DeleteColorSpace
690,gdi32.dll:CreatePenIndirect
691,gdi32.dll:CreatePalette
692,gdi32.dll:CreateHalftonePalette
693,gdi32.dll:CreateEnhMetaFileA
694,gdi32.dll:CreateDIBitmap
695,gdi32.dll:CreateDIBSection
696,gdi32.dll:CopyEnhMetaFileW
697,gdi32.dll:CopyEnhMetaFileA
698,gdi32.dll:CloseEnhMetaFile
699,user32.dll:WindowFromPoint
700,user32.dll:WaitMessage
701,user32.dll:UnloadKeyboardLayout
702,user32.dll:TranslateMDISysAccel
703,user32.dll:TrackPopupMenuEx
704,user32.dll:ShowScrollBar
705,user32.dll:ShowCursor
706,user32.dll:SetWindowPlacement
707,user32.dll:SetScrollRange
708,user32.dll:SetScrollPos
709,user32.dll:SetScrollInfo
710,user32.dll:SetParent
711,user32.dll:SetMenuItemInfoA
712,user32.dll:SetClassLongA
713,user32.dll:SendMessageCallbackA
714,user32.dll:ScrollWindow
715,user32.dll:RemoveMenu
716,user32.dll:RedrawWindow
717,user32.dll:OemToCharA
718,user32.dll:MsgWaitForMultipleObjects
719,user32.dll:MapVirtualKeyA
720,user32.dll:LoadKeyboardLayoutA
721,user32.dll:IsZoomed
722,user32.dll:IsMenu
723,user32.dll:InsertMenuA
724,user32.dll:GetUserObjectInformationA
725,user32.dll:GetScrollRange
726,user32.dll:GetScrollPos
727,user32.dll:GetScrollInfo
728,user32.dll:GetMenuStringA
729,user32.dll:GetKeyboardLayoutList
730,user32.dll:GetKeyboardLayout
731,user32.dll:GetKeyNameTextA
732,user32.dll:GetIconInfo
733,user32.dll:GetDCEx
734,user32.dll:GetCursor
735,user32.dll:GetClipboardData
736,user32.dll:FrameRect
737,user32.dll:FindWindowA
738,user32.dll:EnumWindows
739,user32.dll:EnumThreadWindows
740,user32.dll:EnumPropsExA
741,user32.dll:EnableScrollBar
742,user32.dll:DrawMenuBar
743,user32.dll:DrawIconEx
744,user32.dll:DrawEdge
745,user32.dll:DestroyIcon
746,user32.dll:DestroyCursor
747,user32.dll:DeleteMenu
748,user32.dll:DefMDIChildProcA
749,user32.dll:DefFrameProcA
750,user32.dll:CreateMenu
751,user32.dll:CreateIcon
752,user32.dll:CharUpperBuffW
